constituency_id,chamber,start_date,end_date,name
66c4e12f-d764-5309-805a-f277d91aeb7a,ak,1935-01-10,1970-12-31,Blekinge läns valkrets
7b5afbfc-aed1-5edb-913c-f89ce67b95a5,ak,1935-01-10,1970-12-31,Dalarnas läns valkrets
9921f6f7-beb1-5224-826d-9b6e7c4114ed,ak,1935-01-10,1970-12-31,Fyrstadskretsen
46761fb0-8ace-53c0-8fbd-0a16c7fdc91d,ak,1935-01-10,1970-12-31,Gotlands läns valkrets
e8fdd33e-33e7-5173-b67a-6f4fba71e4c2,ak,1935-01-10,1970-12-31,Gävleborgs läns valkrets
32a49115-dad0-5644-afea-6515d72a2fa2,ak,1935-01-10,1970-12-31,Göteborgs kommuns valkrets
1b9b3b5b-7c11-5f64-978c-e1d1b2002a5c,ak,1935-01-10,1968-12-31,Göteborgs och Bohus läns landstingsområdes valkrets
40f4f3db-cc8b-56b3-9b72-ec5a1a7070f7,ak,1935-01-10,1970-12-31,Hallands läns valkrets
ac735033-812d-52c5-a8ef-5254c0709510,ak,1935-01-10,1970-12-31,Jämtlands läns valkrets
f84e8ff2-b777-5e35-a14c-1a7e50855c36,ak,1935-01-10,1970-12-31,Jönköpings läns valkrets
29c5f935-4b82-58f0-84b9-38fddeb478af,ak,1935-01-10,1970-12-31,Kalmar läns valkrets
b3d2ec8f-3f84-5cdd-90b2-eda30fe3e65d,ak,1935-01-10,1970-12-31,Kronobergs läns valkrets
ab10f2c3-d083-5c5a-b2ca-4a97f0410be8,ak,1935-01-10,1970-12-31,Malmöhus läns valkrets
850638eb-f41d-5b5e-91bc-07a7ef818918,ak,1935-01-10,1970-12-31,Norrbottens läns valkrets
1a7d6b60-4c46-50ef-97fa-502f0b3ced2c,ak,1935-01-10,1970-12-31,Skaraborgs läns valkrets
5b619cc8-3825-577f-97f2-791ed8cbbf05,ak,1935-01-10,1970-12-31,Skåne läns norra och östra valkrets
c29ab651-c882-5372-b400-c1315400b6b3,ak,1935-01-10,1970-12-31,Stockholms kommuns valkrets
899ddaec-b4d0-557f-b637-39829a0fe0f1,ak,1935-01-10,1970-12-31,Stockholms läns valkrets
5a911a22-b39d-5103-bb54-ad725a2f95c8,ak,1935-01-10,1970-12-31,Södermanlands läns valkrets
060a7a45-fe70-554c-8395-60d9d522d523,ak,1935-01-10,1970-12-31,Uppsala läns valkrets
28620dd2-366d-501c-94a8-a4bec03c7e6d,ak,1935-01-10,1970-12-31,Värmlands läns valkrets
2ccd1e63-c4b8-53cc-8ef3-e9e95931d8f5,ak,1935-01-10,1970-12-31,Västerbottens läns valkrets
be377f3a-8cd1-587c-a143-bf5d0cf4b3a0,ak,1935-01-10,1970-12-31,Västernorrlands läns valkrets
899d0c00-1af8-56c6-bd46-79a83dfcf8c1,ak,1935-01-10,1970-12-31,Västmanlands läns valkrets
c94900a7-e6d3-53ad-8ee2-5badba7c9876,ak,1935-01-10,1970-12-31,Älvsborgs läns norra valkrets
43274040-7203-53fb-845b-2b1afddb308c,ak,1935-01-10,1970-12-31,Älvsborgs läns södra valkrets
aba3654d-c18d-541b-b3cc-d11c7f96ec6f,ak,1935-01-10,1970-12-31,Örebro läns valkrets
f190408c-0f9c-57ed-8318-9273dced4a38,ak,1935-01-10,1970-12-31,Östergötlands läns valkrets
e6d44948-949c-57bb-a181-ca34ac6ac813,ak,1969-01-01,1970-12-31,Göteborgs och Bohus läns landstingskommuns valkrets
352b9fa6-6250-564e-9522-46f6a36097fe,ek,1971-01-11,2026-06-30,Blekinge läns valkrets
72b06389-e8cc-5a7f-97bd-b697e29d92e9,ek,1971-01-11,1998-09-14,Bohusläns valkrets
0513f834-f476-5c55-878b-e62d2d14087d,ek,1971-01-11,2026-06-30,Dalarnas läns valkrets
77564945-b88d-5e96-9332-e474481cfc5c,ek,1971-01-11,1994-06-21,Fyrstadskretsen
592c89e6-ed06-5678-85d5-3a81f32dd83f,ek,1971-01-11,2026-06-30,Gotlands läns valkrets
98941c5a-79d5-5f93-bb5b-00774f03d021,ek,1971-01-11,2026-06-30,Gävleborgs läns valkrets
66149692-b5cc-50f8-a778-2131f28fe57d,ek,1971-01-11,2026-06-30,Göteborgs kommuns valkrets
6a5c15bf-688e-5a49-a539-c0eab6478b72,ek,1971-01-11,2026-06-30,Hallands läns valkrets
88073719-4eb3-5370-acd3-f061ef80e1f6,ek,1971-01-11,2026-06-30,Jämtlands läns valkrets
3b8cf955-bf93-520c-a3fe-c4a47a38a4bb,ek,1971-01-11,2026-06-30,Jönköpings läns valkrets
9ccaac05-e6d0-5ae0-af81-84815d9ba0e0,ek,1971-01-11,2026-06-30,Kalmar läns valkrets
d5171f25-e144-57e0-8818-475a87cc5809,ek,1971-01-11,1998-09-14,Kristianstads läns valkrets
95fb07b4-04ab-5bf8-897a-40679b4451c4,ek,1971-01-11,2026-06-30,Kronobergs läns valkrets
ce2cfedc-94fe-5e5e-9134-ce27a7ce4f48,ek,1971-01-11,1994-06-21,Malmöhus läns valkrets
7113b2cc-9972-5065-b2dd-77a7e868113a,ek,1971-01-11,2026-06-30,Norrbottens läns valkrets
d34944b2-a7de-580f-a21e-a5691c785c8b,ek,1971-01-11,1998-09-14,Skaraborgs läns valkrets
