chair_id,constituency_id,start_date,end_date
009a4e39332248c6b9bdd160ab529963,c94900a7-e6d3-53ad-8ee2-5badba7c9876,1925-01-10,1948-12-23
009a4e39332248c6b9bdd160ab529963,1b9b3b5b-7c11-5f64-978c-e1d1b2002a5c,1949-01-10,1968-12-12
009a4e39332248c6b9bdd160ab529963,32a49115-dad0-5644-afea-6515d72a2fa2,1969-01-10,1970-12-16
00a54f1d6ada4fc5891699617566a59e,88dc2372-1608-57b0-b0e6-1a789be8dec9,1971-01-11,2002-09-29
00a54f1d6ada4fc5891699617566a59e,3ed93b54-6eb2-5b8d-865d-7587a0486881,2002-09-30,2006-09-30
00a54f1d6ada4fc5891699617566a59e,0259c4e5-f8dc-555a-a982-bc145e6182ca,2006-10-02,2018-09-24
00a54f1d6ada4fc5891699617566a59e,90a5c436-9d88-53bb-b9e9-7314a438703f,2018-09-24,2022-09-26
00a54f1d6ada4fc5891699617566a59e,9ccaac05-e6d0-5ae0-af81-84815d9ba0e0,2022-09-26,2026-09-15
00a56cabf8e24d33b2b4471c71e93adc,88dc2372-1608-57b0-b0e6-1a789be8dec9,1971-01-11,2002-09-29
00a56cabf8e24d33b2b4471c71e93adc,3ed93b54-6eb2-5b8d-865d-7587a0486881,2002-09-30,2006-09-30
00a56cabf8e24d33b2b4471c71e93adc,0259c4e5-f8dc-555a-a982-bc145e6182ca,2006-10-02,2018-09-24
00a56cabf8e24d33b2b4471c71e93adc,90a5c436-9d88-53bb-b9e9-7314a438703f,2018-09-24,2022-09-26
00a56cabf8e24d33b2b4471c71e93adc,9ccaac05-e6d0-5ae0-af81-84815d9ba0e0,2022-09-26,2026-09-15
00eca2bbcfc642a3bc0b20794411fbb6,ce2cfedc-94fe-5e5e-9134-ce27a7ce4f48,1971-01-11,1976-06-04
00eca2bbcfc642a3bc0b20794411fbb6,77564945-b88d-5e96-9332-e474481cfc5c,1976-10-04,1979-06-09
00eca2bbcfc642a3bc0b20794411fbb6,ce2cfedc-94fe-5e5e-9134-ce27a7ce4f48,1979-10-01,1994-06-21
00eca2bbcfc642a3bc0b20794411fbb6,c8cd016a-8b2b-5bc2-8fc9-e8ac0f5ba65a,1994-10-03,1998-09-14
00eca2bbcfc642a3bc0b20794411fbb6,e1bb0035-d8f1-5350-8aa8-962b52b0553f,1998-09-15,2006-09-30
00eca2bbcfc642a3bc0b20794411fbb6,949c1729-b7ab-521d-ad1b-60772ec2276f,2006-10-02,2026-09-15
01325958816c40f0bdd7df08d60a7d31,98941c5a-79d5-5f93-bb5b-00774f03d021,1971-01-11,1976-06-04
01325958816c40f0bdd7df08d60a7d31,136bd5a8-3576-5b75-bc02-5e42ba984200,1976-10-04,1979-06-09
01325958816c40f0bdd7df08d60a7d31,98941c5a-79d5-5f93-bb5b-00774f03d021,1979-10-01,2006-09-30
01325958816c40f0bdd7df08d60a7d31,136bd5a8-3576-5b75-bc02-5e42ba984200,2006-10-02,2014-09-29
01325958816c40f0bdd7df08d60a7d31,88073719-4eb3-5370-acd3-f061ef80e1f6,2014-09-29,2018-09-24
