constituency_id,start_date,end_date,mandates_total
0259c4e5-f8dc-555a-a982-bc145e6182ca,1998-09-15,2002-09-29,9
0259c4e5-f8dc-555a-a982-bc145e6182ca,2002-09-30,2014-09-29,10
0259c4e5-f8dc-555a-a982-bc145e6182ca,2014-09-29,2022-09-26,11
0259c4e5-f8dc-555a-a982-bc145e6182ca,2022-09-26,2026-06-30,10
03c44b66-74b5-5b6f-a92f-365fcb5806de,1998-09-15,2022-09-26,13
03c44b66-74b5-5b6f-a92f-365fcb5806de,2022-09-26,2026-06-30,14
0513f834-f476-5c55-878b-e62d2d14087d,1971-01-11,1973-12-15,12
0513f834-f476-5c55-878b-e62d2d14087d,1974-01-10,1982-06-12,13
0513f834-f476-5c55-878b-e62d2d14087d,1982-10-04,1994-06-21,12
0513f834-f476-5c55-878b-e62d2d14087d,1994-10-03,1998-09-14,13
0513f834-f476-5c55-878b-e62d2d14087d,1998-09-15,2006-09-30,11
0513f834-f476-5c55-878b-e62d2d14087d,2006-10-02,2010-10-04,13
0513f834-f476-5c55-878b-e62d2d14087d,2010-10-04,2018-09-24,11
0513f834-f476-5c55-878b-e62d2d14087d,2018-09-24,2022-09-26,10
0513f834-f476-5c55-878b-e62d2d14087d,2022-09-26,2026-06-30,11
060a7a45-fe70-554c-8395-60d9d522d523,1935-01-10,1968-12-31,5
060a7a45-fe70-554c-8395-60d9d522d523,1969-01-01,1970-12-31,6
0af335ba-25f1-581d-858f-437ea3adecea,1971-01-11,1973-12-15,8
0af335ba-25f1-581d-858f-437ea3adecea,1974-01-10,1976-06-04,9
0af335ba-25f1-581d-858f-437ea3adecea,1976-10-04,1982-06-12,10
0af335ba-25f1-581d-858f-437ea3adecea,1982-10-04,1988-06-10,11
0af335ba-25f1-581d-858f-437ea3adecea,1988-10-03,1991-06-20,12
0af335ba-25f1-581d-858f-437ea3adecea,1991-09-30,1994-06-21,11
0af335ba-25f1-581d-858f-437ea3adecea,1994-10-03,2010-10-04,12
0af335ba-25f1-581d-858f-437ea3adecea,2010-10-04,2014-09-29,13
0af335ba-25f1-581d-858f-437ea3adecea,2014-09-29,2018-09-24,12
0af335ba-25f1-581d-858f-437ea3adecea,2018-09-24,2026-06-30,13
136bd5a8-3576-5b75-bc02-5e42ba984200,1971-01-11,1973-12-15,13
136bd5a8-3576-5b75-bc02-5e42ba984200,1974-01-10,1976-06-04,12
136bd5a8-3576-5b75-bc02-5e42ba984200,1976-10-04,1979-06-09,13
136bd5a8-3576-5b75-bc02-5e42ba984200,1979-10-01,1982-06-12,12
136bd5a8-3576-5b75-bc02-5e42ba984200,1982-10-04,1985-06-11,13
136bd5a8-3576-5b75-bc02-5e42ba984200,1985-09-30,1988-06-10,11
136bd5a8-3576-5b75-bc02-5e42ba984200,1988-10-03,1998-09-14,12
136bd5a8-3576-5b75-bc02-5e42ba984200,1998-09-15,2006-09-30,10
136bd5a8-3576-5b75-bc02-5e42ba984200,2006-10-02,2010-10-04,11
136bd5a8-3576-5b75-bc02-5e42ba984200,2010-10-04,2014-09-29,9
136bd5a8-3576-5b75-bc02-5e42ba984200,2014-09-29,2018-09-24,10
136bd5a8-3576-5b75-bc02-5e42ba984200,2018-09-24,2022-09-26,8
136bd5a8-3576-5b75-bc02-5e42ba984200,2022-09-26,2026-06-30,9
1a7d6b60-4c46-50ef-97fa-502f0b3ced2c,1935-01-10,1948-12-31,9
1a7d6b60-4c46-50ef-97fa-502f0b3ced2c,1949-01-01,1968-12-31,8
1a7d6b60-4c46-50ef-97fa-502f0b3ced2c,1969-01-01,1970-12-31,7
1aed974b-1504-5223-9940-b9a0d45845cd,1998-09-15,2002-09-29,12
1aed974b-1504-5223-9940-b9a0d45845cd,2002-09-30,2003-09-15,9
1aed974b-1504-5223-9940-b9a0d45845cd,2003-09-16,2006-09-30,10
1aed974b-1504-5223-9940-b9a0d45845cd,2006-10-02,2010-10-04,11
1aed974b-1504-5223-9940-b9a0d45845cd,2010-10-04,2014-09-29,12
1aed974b-1504-5223-9940-b9a0d45845cd,2014-09-29,2018-09-24,13
1aed974b-1504-5223-9940-b9a0d45845cd,2018-09-24,2022-09-26,10
1aed974b-1504-5223-9940-b9a0d45845cd,2022-09-26,2026-06-30,8
1b9b3b5b-7c11-5f64-978c-e1d1b2002a5c,1935-01-10,1940-12-31,8
