person_id,start,end,government,role
i-5oQ4xWUi5Nh3NjqrvZeiNp,,,Regeringen Andersson,bostadsminister
i-6eosMH8o1uMi1nCPvvh1tH,,,Regeringen Andersson,landsbygdsminister
i-74hLepsvAgUMEvVVtBCGuc,,,Regeringen Andersson,statsminister
i-8eXWd1vC6ZRoeQdNAwzhbS,,,Regeringen Andersson,utrikeshandelsminister
i-9VQB2AJUahVE6YUpda5FKN,,,Regeringen Andersson,miljöminister
i-D2uJEWzkUt2JAeCGbpSqPy,,,Regeringen Andersson,näringsminister
i-E4AiRv2UMsiA9KQkJbXB8E,,,Regeringen Andersson,finansmarknadsminister
i-HxcQkHC9fDSzkJWgvdhDEF,,,Regeringen Andersson,socialminister
i-KTYc2rBrcxPNyJRR5s4dQD,,,Regeringen Andersson,försvarsminister
i-LGnWAFHmtMWgHhZSuUL8EB,,,Regeringen Andersson,socialförsäkringsminister
i-LL8Bee3zYHnuxQrwejsiTf,,,Regeringen Andersson,civilminister
i-NW2TEoH8XmW9aSn2aKJ8EA,,,Regeringen Andersson,integrationsminister
i-NW2TEoH8XmW9aSn2aKJ8EA,,,Regeringen Andersson,migrationsminister
i-PMx51X9QbaLUMtQNq6sVfz,,,Regeringen Andersson,biståndsminister
i-Spsbo7A5zikEeUY3JEYcNV,,,Regeringen Andersson,finansminister
i-VUvkjV9kuKJcz4cxGcFQfn,,,Regeringen Andersson,energiminister
i-8s82sZqLm7pvUHTtpv2LZG,,,Regeringen Boström I,konsultativt statsråd
i-A6gx9dK7mRxJPJ5JedE7Z,,1892-12-16,Regeringen Boström I,sjöförsvarsminister
i-Dupw3qwYSE3y5mdMHBzQvA,,,Regeringen Boström I,statsminister
i-2b1P9oc6jJ6GnNxViy4qgD,,,Regeringen Boström II,landsbygdsminister
i-Dupw3qwYSE3y5mdMHBzQvA,,,Regeringen Boström II,statsminister
i-KQCpp7fPS6JnGzNC3a24bc,,,Regeringen Boström II,konsultativt statsråd
i-9iqLBgdAYEoR244dkazyYj,,1920-06-30,Regeringen Branting I,konsultativt statsråd
i-REC84EGSoQoYhpdGE1JHN9,,,Regeringen Branting I,landsbygdsminister
i-VM3kn4h4mTkLoFpEyrhy5t,,,Regeringen Branting I,statsminister
i-9iqLBgdAYEoR244dkazyYj,,,Regeringen Branting II,konsultativt statsråd
i-CWWYqdnnUFLvQEhYk3V8Wo,,,Regeringen Branting II,landsbygdsminister
i-GFbGCi8kh9TEUKXENMrEeH,,,Regeringen Branting II,infrastrukturminister
i-VM3kn4h4mTkLoFpEyrhy5t,,,Regeringen Branting II,statsminister
i-CWWYqdnnUFLvQEhYk3V8Wo,,,Regeringen Branting III,landsbygdsminister
i-MSbi6CmhoHjdUGidWdU69V,,,Regeringen Branting III,konsultativt statsråd
i-RUWzee5oy7xHjdBivdkTjR,,,Regeringen Branting III,konsultativt statsråd
i-UbnnZ7kVjVhJrHrUCyEV9K,,,Regeringen Branting III,infrastrukturminister
i-VM3kn4h4mTkLoFpEyrhy5t,,,Regeringen Branting III,statsminister
i-AZnaWEAg22YQ3HzVMfNSHR,,,Regeringen Carl Bildt,statsminister
i-CVa3GtLUphESXFxPuwSvNV,,,Regeringen Carl Bildt,landsbygdsminister
i-QrnhMBZLsGdbeBasmoTLpZ,,,Regeringen Carl Bildt,infrastrukturminister
i-2pEgGvjfozTyRxyzmLZFo2,,1986-10-10,Regeringen Carlsson I,landsbygdsminister
i-3M1s36ECJm8aj113TDC85w,,1988-10-04,Regeringen Carlsson I,civilminister
i-PNtNEDX6PkGV1MhkrC5uj1,,1989-01-29,Regeringen Carlsson I,infrastrukturminister
i-TgNr7w5KMUTB7gX5TMgE3U,,,Regeringen Carlsson I,sjukvårdsminister
i-WYkrZExE7jfwHjmfH1DPwg,,,Regeringen Carlsson I,statsminister
i-BZDMLaDZjTMLecbbyhYS3t,,,Regeringen Carlsson II,landsbygdsminister
i-BZDMLaDZjTMLecbbyhYS3t,,,Regeringen Carlsson II,minister för nordiskt samarbete
i-TgNr7w5KMUTB7gX5TMgE3U,,,Regeringen Carlsson II,sjukvårdsminister
i-WYkrZExE7jfwHjmfH1DPwg,,,Regeringen Carlsson II,statsminister
i-Xrj5P46hsif4EVQjEQc8eH,,,Regeringen Carlsson II,infrastrukturminister
i-3FEh1q844FM3qRDgqmfWSF,,,Regeringen Carlsson III,sjukvårdsminister
i-3sPbyicZy7gfbq8RdVTQMb,,,Regeringen Carlsson III,infrastrukturminister
i-4qJ1WSYreoe9MGDFPCwZKy,,,Regeringen Carlsson III,landsbygdsminister
i-WYkrZExE7jfwHjmfH1DPwg,,,Regeringen Carlsson III,statsminister
i-A1rXJfgfS6b5QQQgwn3Jm8,,1878-07-04,Regeringen De Geer d.ä. III,konsultativt statsråd
i-Co4TBMcmY1januJCiyZRoy,,,Regeringen De Geer d.ä. III,konsultativt statsråd
i-EMnZ9doEs8MQVGY2nAGkkE,,,Regeringen Edén,statsminister
i-FNvuqdN5bu7HwDNrzpb3ij,,,Regeringen Edén,konsultativt statsråd
i-8fp2gLHtWqnYwFqeVLu5w8,,,Regeringen Erlander I,statsminister
i-BSEtbZG4ePv3rfebXQWRkd,,,Regeringen Erlander I,infrastrukturminister
i-C35yyip4t5V4hBSBwnGD7Z,,1948-10-29,Regeringen Erlander I,landsbygdsminister
i-KPJFtzGBjuTE4Qx9bmhQnG,,,Regeringen Erlander I,konsultativt statsråd
i-MSbi6CmhoHjdUGidWdU69V,,1949-06-30,Regeringen Erlander I,finansminister
i-3R2qbKpVQbNv7BvXe7jvcr,,,Regeringen Fälldin I,landsbygdsminister
i-5FsdBgp7zC1W8jXSUkwwDq,,,Regeringen Fälldin I,Biträdande bostadsminister
i-5FsdBgp7zC1W8jXSUkwwDq,,,Regeringen Fälldin I,konsultativt statsråd
i-BjNiod8wotUabh41ByfhRU,,,Regeringen Fälldin I,infrastrukturminister
i-HdmXapeTq3DFBQub8j1ccm,,,Regeringen Fälldin I,försvarsminister
i-PDvEfAmYAgGTBhkGvyY7F4,,,Regeringen Fälldin I,statsminister
i-3R2qbKpVQbNv7BvXe7jvcr,,,Regeringen Fälldin II,landsbygdsminister
i-4uJEFdvmwfbMmozZhv5XDY,,,Regeringen Fälldin II,biståndsminister
i-5FsdBgp7zC1W8jXSUkwwDq,,,Regeringen Fälldin II,bostadsminister
i-HdmXapeTq3DFBQub8j1ccm,,1981-05-05,Regeringen Fälldin II,försvarsminister
i-PDvEfAmYAgGTBhkGvyY7F4,,,Regeringen Fälldin II,statsminister
i-Pe1ftVDt68xexZMLUFEKsL,,1981-05-05,Regeringen Fälldin II,infrastrukturminister
i-3R2qbKpVQbNv7BvXe7jvcr,,1982-10-04,Regeringen Fälldin III,landsbygdsminister
i-4uJEFdvmwfbMmozZhv5XDY,,,Regeringen Fälldin III,biståndsminister
i-5FsdBgp7zC1W8jXSUkwwDq,,,Regeringen Fälldin III,bostadsminister
i-9od8XMMEFpuGQ58mq2Csw5,,,Regeringen Fälldin III,försvarsminister
i-P4Whrc3PQ9jPwPpdLqCHem,,,Regeringen Fälldin III,infrastrukturminister
i-PDvEfAmYAgGTBhkGvyY7F4,,,Regeringen Fälldin III,statsminister
i-Co4TBMcmY1januJCiyZRoy,,,Regeringen Gillis Bildt,konsultativt statsråd
i-DdpGurNSK1gsC7JXZ7kFDP,,,Regeringen Gillis Bildt,statsminister
i-YW6AVxRNnSF96fpnZ8xTbh,,1888-09-28,Regeringen Gillis Bildt,konsultativt statsråd
i-A4jkDhz3Qhq16rRWcenUbw,,,Regeringen Hammarskjöld,statsminister
i-FSJ4kw3boEHgUkPEAcBMPU,,,Regeringen Hammarskjöld,landsbygdsminister
i-SQxGcy33CHFYpy2egM83wy,,,Regeringen Hammarskjöld,konsultativt statsråd
i-17q5suLEPiC6SEzqci5C4s,,1938-12-09,Regeringen Hansson II,försvarsminister
i-4WY5rtjroqEtDfCMpBFokU,,1938-12-16,Regeringen Hansson II,infrastrukturminister
i-9176GQUFtfs5bLdpQnVS9M,,,Regeringen Hansson II,ecklesiastikminister
i-KPJFtzGBjuTE4Qx9bmhQnG,,,Regeringen Hansson II,konsultativt statsråd
i-L7nvZ56RferP78KNpz2Uh1,,,Regeringen Hansson II,statsminister
i-MSbi6CmhoHjdUGidWdU69V,,,Regeringen Hansson II,finansminister
i-QSvXYSPnCaog2kVQuZMYmX,,,Regeringen Hansson II,landsbygdsminister
i-RUWzee5oy7xHjdBivdkTjR,,1938-08-31,Regeringen Hansson II,konsultativt statsråd
i-57VtU3DUgS6ebh11mtUQes,,1944-09-30,Regeringen Hansson III,infrastrukturminister
i-KPJFtzGBjuTE4Qx9bmhQnG,,1940-10-11,Regeringen Hansson III,konsultativt statsråd
i-L7nvZ56RferP78KNpz2Uh1,,,Regeringen Hansson III,statsminister
i-MSbi6CmhoHjdUGidWdU69V,,,Regeringen Hansson III,finansminister
