person_id,name,primary_name
i-122QwSSpyGJQiTJjmrUJCM,Krister Örnfjäder,true
i-122QwSSpyGJQiTJjmrUJCM,Örnfjäder,false
i-12Uee2egshc6uyv5Q4pcUM,Ernst Martin William Nisser,false
i-12Uee2egshc6uyv5Q4pcUM,Ernst Nisser,true
i-12Uee2egshc6uyv5Q4pcUM,Nisser,false
i-13PgYkuYe6x5jwCDMxQFhz,Boman,false
i-13PgYkuYe6x5jwCDMxQFhz,Märta Boman,true
i-13PgYkuYe6x5jwCDMxQFhz,Märta Kristina Boman,false
i-13QQP8owbbh9DWwyjxnTSS,Elm,false
i-13QQP8owbbh9DWwyjxnTSS,Ingegerd Elm,true
i-13QQP8owbbh9DWwyjxnTSS,Wega Ingegerd Elm,false
i-14i9EqBsyFmaLjBNGYzNCy,Emelie Nyman,true
i-14itFAMq9exF2LvnaCtHAn,Bäckström,false
i-14itFAMq9exF2LvnaCtHAn,Helge Bäckström,true
i-14itFAMq9exF2LvnaCtHAn,Helge Mattias Bäckström,false
i-15XKZT3hRjksEvtHa8x3vk,Marcus Wennerström,true
i-16Me1SDJCZ61jNn9EpVkzN,Gustaf Joachim Åkerman,false
i-16Me1SDJCZ61jNn9EpVkzN,Joachim Åkerman,true
i-16Me1SDJCZ61jNn9EpVkzN,Åkerman,false
i-16Witbg68Ektoj84BnCehX,Carl Adolf Grewesmühl,false
i-16Witbg68Ektoj84BnCehX,Carl Grewesmühl,true
i-16Witbg68Ektoj84BnCehX,Grevesmühl,false
i-16Witbg68Ektoj84BnCehX,Grewesmühl,false
i-16Witbg68Ektoj84BnCehX,K. A. Grevesmühl,false
i-16Witbg68Ektoj84BnCehX,Karl Adolf Grewesmühl,false
i-16dpFQGNcr7HGwnHCoAdKk,Ernst Olsson,true
i-16dpFQGNcr7HGwnHCoAdKk,Ernst Wilhelm Olsson,false
i-16dpFQGNcr7HGwnHCoAdKk,Olsson,false
i-17NC28Tx5CZ5mzwYAUHKqv,Monica Elisabet Green,false
i-17NC28Tx5CZ5mzwYAUHKqv,Monica Green,true
i-17q5suLEPiC6SEzqci5C4s,Janne Nilsson,true
i-17q5suLEPiC6SEzqci5C4s,Nilsson,false
i-17rLcHuXL7eT8W1nwmMH4h,Sotiris Delis,true
i-17wP8w7go36vS3sLZVkrL5,Jöns Olsson,true
i-17wP8w7go36vS3sLZVkrL5,Olsson,false
i-184mh7uhT7D8tGsavsHbSJ,Arthur Widén,true
i-184mh7uhT7D8tGsavsHbSJ,Lars Arthur Widén,false
i-184mh7uhT7D8tGsavsHbSJ,Widén,false
i-1WP7QkRyMb2CD9Uv6e3wC,Carl Ludvig Palm,false
i-1WP7QkRyMb2CD9Uv6e3wC,Carl Palm,true
i-1WP7QkRyMb2CD9Uv6e3wC,Palm,false
i-1XsEfF3SYqxVzdDjxQSya,Edvard Johansson,true
i-1XsEfF3SYqxVzdDjxQSya,Johan Edvard Johansson,false
i-1XsEfF3SYqxVzdDjxQSya,Johansson,false
i-1gnfNeDH6dj6iVaqD8XRH,Jonas Jonasson,true
i-1gnfNeDH6dj6iVaqD8XRH,Jonasson,false
i-1vkisNNG3HdqJbKySSxUp,Bror Persson,true
i-1vkisNNG3HdqJbKySSxUp,Bror Valdemar Persson,false
i-1vkisNNG3HdqJbKySSxUp,Bror Waldemar Persson,false
i-1vkisNNG3HdqJbKySSxUp,Persson,false
i-1xCX3EMkTS2CB8HGyyktc,Blåvitt Elofsson,true
i-1xpn4vGAnPTUV3FuyR27z,Anders Johan Johansson,true
i-1xpn4vGAnPTUV3FuyR27z,Johansson,false
i-21bcvvF1pf7n8H2CydJGFb,Bengt Bengtsson,true
i-21bcvvF1pf7n8H2CydJGFb,Bengtsson,false
i-21bcvvF1pf7n8H2CydJGFb,Karl-Erik Bengt Bengtsson,false
i-21sS3832F96xjNFhsY9x2i,Herman Falk,true
i-21sS3832F96xjNFhsY9x2i,Herman Otto Falk,false
i-22EGSH6WucdXDkn19Wz7Mu,Gyllenram,false
i-22EGSH6WucdXDkn19Wz7Mu,Henric Gustaf Wilhelm Gyllenram,false
i-22EGSH6WucdXDkn19Wz7Mu,Henrik Gustaf Wilhelm Gyllenram,false
i-22EGSH6WucdXDkn19Wz7Mu,Henrik Gyllenram,true
i-22wFp6y6WQMw5wNfwCbp8w,Annika Nilsson,true
i-23K7oBZqgsShoLKvyFSg9W,Bengt Olofsson,true
i-23K7oBZqgsShoLKvyFSg9W,Olofsson,false
i-23dA6zcoX9MkR9z7C5GtSC,Lagergren,false
i-23dA6zcoX9MkR9z7C5GtSC,Maria Lagergren,true
i-23owrgiLSgQRynhwKe5Tja,Kjell Nilsson,true
i-23owrgiLSgQRynhwKe5Tja,Nilsson,false
i-243rknWDEdgBEAge7sukzd,Gustaf Svensson,true
i-243rknWDEdgBEAge7sukzd,Gustaf Wilhelm Svensson,false
i-243rknWDEdgBEAge7sukzd,Svensson,false
i-24CbHNwsRznss4Yas6HseU,Anita Brodén,true
i-24FhhfcLncvvn1Ea4tJ4p7,Andersson,false
