party_id,party,inception,dissolution,successor_id,swerik_party_id,swerik_successor
Q105112,Socialdemokraterna,1889-01-01,,Q10672903,i-VS8ddgxigwL5TceKtXGApS,i-SwzbNNYoyZYULLDiTu2zGP
Q111033682,Högerpartiet,1952-01-01,1969-01-01,Q110843,i-3A4u29WVtvfu8i1KwuPEeE,i-F6Stwe8wVnSPa3BbgusszQ
Q110843,Moderata samlingspartiet,1969-01-01,,,i-F6Stwe8wVnSPa3BbgusszQ,
Q110472693,Bondeförbundet,1913-01-01,1956-12-31,Q110832,i-CNbGLyuzdkRJ2sJBBpzJit,i-UiFZiVNo3YgVfyN93Qigiv
Q110832,Centerpartiet,1957-01-01,,,i-UiFZiVNo3YgVfyN93Qigiv,
Q4887122,Frisinnade folkpartiet,1924-01-01,1935-01-01,Q110857,i-V7MTfG5XaAmjbSDtLkyyfc,i-Hm85EQfFmbYuYFPjpXtuCj
Q110857,Folkpartiet liberalerna,1990-01-01,2015,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj,i-Kpkv9BSujEEJp1S4rDiDt7|i-FpGjUCojANuvvwqsNXjcuu
Q110857,Liberalerna,2015-01-01,,,i-Kpkv9BSujEEJp1S4rDiDt7,
Q504069,Sverigedemokraterna,1988-02-06,,,i-Cb6hYmJf4EDxesFRgErquJ,
Q213451,Miljöpartiet,1981-09-20,,,i-Qha9NerKBigcjJXgoRk4Md,
Q111285801,Sveriges kommunistiska parti,1921-01-01,1967-01-01,Q1787940,i-TQCUzfkvYhBFrXeQwXoENH,i-2SVXJYpXaRHXxbWRcbRd5N
Q110837,Vänsterpartiet Kommunisterna,1967-01-01,1990-01-01,Q110837,i-2SVXJYpXaRHXxbWRcbRd5N,i-CJb7bcc1eZcehvGarg8GpB
Q110837,Vänsterpartiet,1990-01-01,,,i-CJb7bcc1eZcehvGarg8GpB,
Q213654,Kristdemokratiska Samhällspartiet,1987-01-01,1996-01-01,Q213654,i-B79rKJX4ZV61ozevGt8JLL,i-BRRSButj7zSqB1u7zD6hod
Q213654,Kristdemokraterna,1996-01-01,,,i-BRRSButj7zSqB1u7zD6hod,
Q967278,Ny demokrati,1991-01-01,2000-02-25,,i-YYGgpk3VEG9XW1wZTzUShT,
Q10554125,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,Q111077860,i-NhgK2ujGF5t35o2VjT8Q5U,i-4nyjRorziqEDtDmp1ZXDoP
Q111077860,Högerns riksdagsgrupp,1935-01-01,1970-01-01,Q110843,i-4nyjRorziqEDtDmp1ZXDoP,i-F6Stwe8wVnSPa3BbgusszQ
Q3480145,Första kammarens nationella parti,1912-01-01,1935-01-01,Q111077860,i-3kDgsboJBSv4zGqF4zfCsY,i-4nyjRorziqEDtDmp1ZXDoP
Q111103693,Det förenade högerpartiet,1910-01-01,1912-01-01,Q3480145,i-W4wDukSDpMNcSwPExagVMB,i-3kDgsboJBSv4zGqF4zfCsY
Q7251368,Första kammarens protektionistiska parti,1888-01-01,1910-01-01,Q111103693,i-JsGzmeZj512cSTetKpxYQF,i-W4wDukSDpMNcSwPExagVMB
Q10501500,Första kammarens minoritetsparti,1888-01-01,1905-01-01,Q10501501,i-CwShqiWdwctbU6TPYH5iUZ,i-9gKkoAVdC2bU1LFrXNHCxd
Q10444847,Centern (partigrupp 1885-1887),1885-01-01,1887-01-01,Q10501500,i-KEgnYCc73ZQ58du5cBUznD,i-CwShqiWdwctbU6TPYH5iUZ
Q10585839,ministeriella partiet,1867-01-01,1873-01-01,Q10444846,i-AbA39stxKh7LUfFyzHXSSc,i-Wuf6mbSSQz6NKLotsx2aAo
Q10444846,Centern (partigrupp 1873-1882),1873-01-01,1883-01-01,Q10604299|Q10444837,i-Wuf6mbSSQz6NKLotsx2aAo,i-KTFh6jJ82W8M3YskEqK73p|i-GbGubj2AmxfwHBRapTiLhX
Q10444837,Center-högern,1883-01-01,1887-01-01,Q10411414,i-GbGubj2AmxfwHBRapTiLhX,i-EVCNHEkqssUGBqpFtyU8mT
Q10604299,Nya centern (partigrupp 1883-1887),1883-01-01,1888-01-01,Q10411414,i-KTFh6jJ82W8M3YskEqK73p,i-EVCNHEkqssUGBqpFtyU8mT
