party,abbreviation,ocr_correction
(C),C,false
(Cp),C,false
(bf),C,false
(c),C,false
(ce),C,true
(cp),C,false
(ec),C,true
(o),C,true
(öp),C,true
Bondeförbundet,C,false
Centerpartiet,C,false
(KD),KD,false
(KDS),KD,false
(KDs),KD,false
(kd),KD,false
(kds),KD,false
(t),KD,true
Kristdemokraterna,KD,false
(FP),L,false
(L),L,false
(f),L,false
(fP),L,false
(fp),L,false
(ip),L,true
Folkpartiet,L,false
Liberalerna,L,false
(Gm),M,true
(HD),M,true
(I),M,true
(M),M,false
(bh),M,true
(h),M,false
(hb),M,true
(hh),M,true
(hi),M,true
(in),M,true
(m),M,false
(n),M,true
Moderaterna,M,false
(MP),MP,false
(mp),MP,false
Miljöpartiet,MP,false
(nyd),NYD,false
Ny demokrati,NYD,false
(S),S,false
(SS),S,true
(s),S,false
(sj),S,true
(ss),S,true
(ts),S,true
Socialdemokraterna,S,false
(SD),SD,false
Sverigedemokraterna,SD,false
(apk),SKP,false
(V),V,false
(k),V,false
(v),V,false
(vpk),V,false
Vänsterpartiet,V,false
frisinnad vilde,independent,false
partilös,independent,false
