person_id,start,end,party,party_id,swerik_party_id
i-122QwSSpyGJQiTJjmrUJCM,1992-03-17,1992-05-31,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-122QwSSpyGJQiTJjmrUJCM,1992-11-26,1992-12-31,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-122QwSSpyGJQiTJjmrUJCM,1993-01-11,1993-01-25,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-122QwSSpyGJQiTJjmrUJCM,1993-01-26,1994-10-03,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-122QwSSpyGJQiTJjmrUJCM,1994-10-03,1998-10-05,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-122QwSSpyGJQiTJjmrUJCM,1998-10-05,2002-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-122QwSSpyGJQiTJjmrUJCM,2002-09-30,2006-10-02,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-122QwSSpyGJQiTJjmrUJCM,2006-10-02,2010-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-122QwSSpyGJQiTJjmrUJCM,2010-10-04,2014-09-29,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-122QwSSpyGJQiTJjmrUJCM,2014-09-29,2018-09-24,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-13QQP8owbbh9DWwyjxnTSS,1979-10-01,1982-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-13QQP8owbbh9DWwyjxnTSS,1982-10-04,1985-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-13QQP8owbbh9DWwyjxnTSS,1985-09-30,1988-10-03,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-13QQP8owbbh9DWwyjxnTSS,1988-10-03,1991-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-13QQP8owbbh9DWwyjxnTSS,1991-09-30,1992-01-09,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-15XKZT3hRjksEvtHa8x3vk,2022-09-26,2022-10-18,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-15XKZT3hRjksEvtHa8x3vk,2023-08-28,2024-04-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-17NC28Tx5CZ5mzwYAUHKqv,1994-10-03,1998-10-05,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-17NC28Tx5CZ5mzwYAUHKqv,1998-10-05,2002-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-17NC28Tx5CZ5mzwYAUHKqv,2002-09-30,2006-10-02,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-17NC28Tx5CZ5mzwYAUHKqv,2006-10-02,2010-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-17NC28Tx5CZ5mzwYAUHKqv,2010-10-04,2014-09-29,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-17NC28Tx5CZ5mzwYAUHKqv,2014-09-29,2018-09-24,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-17rLcHuXL7eT8W1nwmMH4h,2014-09-29,2018-09-24,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-21bcvvF1pf7n8H2CydJGFb,1971-01-11,1974-01-10,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-21bcvvF1pf7n8H2CydJGFb,1974-01-10,1976-10-04,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-21bcvvF1pf7n8H2CydJGFb,1976-10-04,1979-10-01,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-22wFp6y6WQMw5wNfwCbp8w,1994-10-03,1998-10-05,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-22wFp6y6WQMw5wNfwCbp8w,1998-10-05,2002-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-22wFp6y6WQMw5wNfwCbp8w,2002-09-30,2003-04-16,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
