person_id,name,start_date,end_date,party_id
i-FiisfXYQcUpGymcboYQpoF,C.-H. Hermansson,1967-05-16,1975-03-13,i-2SVXJYpXaRHXxbWRcbRd5N
i-5wPAQ1MDLRTsW1XngYcD46,Lars Werner,1975-03-13,1990-05-26,i-2SVXJYpXaRHXxbWRcbRd5N
i-2gvrXtH5sAT9PgXsCVpQSW,Jarl Hjalmarson,1952-07-17,1961-08-28,i-3A4u29WVtvfu8i1KwuPEeE
i-S8m3fmgdhJmz5CbDpVBctA,Gunnar Heckscher,1961-08-28,1965-06-01,i-3A4u29WVtvfu8i1KwuPEeE
i-MTA6YhhXtmnmGGwd2tXXRL,Yngve Holmberg,1965-06-01,1969-01-09,i-3A4u29WVtvfu8i1KwuPEeE
i-Fnu186BGHvvTJDuB7t6zMb,Arvid Lindman,1912,1917,i-3kDgsboJBSv4zGqF4zfCsY
i-QfeDyZ27DQmH17bsjAZDYK,Gustaf Fredrik Östberg,1912,1912,i-3kDgsboJBSv4zGqF4zfCsY
i-WFAgacpHQWjHhsNNuUmKTE,Olof Jonsson i Hov,1917,1917,i-3kDgsboJBSv4zGqF4zfCsY
i-Fnu186BGHvvTJDuB7t6zMb,Arvid Lindman,1919,1920,i-3kDgsboJBSv4zGqF4zfCsY
i-7qWGCczgXmCbLWUggUPPsa,Carl Hallendorff,1922,1922,i-3kDgsboJBSv4zGqF4zfCsY
i-Fnu186BGHvvTJDuB7t6zMb,Arvid Lindman,1924,1935-06-03,i-3kDgsboJBSv4zGqF4zfCsY
i-Fnu186BGHvvTJDuB7t6zMb,Arvid Lindman,1935,1935-06-03,i-4nyjRorziqEDtDmp1ZXDoP
i-CU4eSFiFKKx8yk9jS92iFV,Gösta Bagge,1935-06-03,1944-12-09,i-4nyjRorziqEDtDmp1ZXDoP
i-PRkToj2ss6C9sjWtUtqNNh,Fritiof Domö,1944-12-09,1950-01-09,i-4nyjRorziqEDtDmp1ZXDoP
i-2gvrXtH5sAT9PgXsCVpQSW,Jarl Hjalmarson,1950-01-09,1961-08-28,i-4nyjRorziqEDtDmp1ZXDoP
i-S8m3fmgdhJmz5CbDpVBctA,Gunnar Heckscher,1961-08-28,1965-06-01,i-4nyjRorziqEDtDmp1ZXDoP
i-MTA6YhhXtmnmGGwd2tXXRL,Yngve Holmberg,1965-06-01,1970-11-14,i-4nyjRorziqEDtDmp1ZXDoP
i-SmANBDpEMp49AgxGMgLJX,Ernst Beckman,1902,1914,i-6phCStV52pp0GuBufmEi9g
i-H51hFF5ej5tCePg4YqjSsq,Axel Schotte,1914,1917,i-6phCStV52pp0GuBufmEi9g
i-KLVdWuEH3iyC7Ws5pZeVNK,Daniel Persson i Tällberg,1917,1918,i-6phCStV52pp0GuBufmEi9g
i-4kz1fC2gQwdiC7G6RzQ2SK,Raoul Hamilton,1919,1923,i-6phCStV52pp0GuBufmEi9g
i-JSniSV7GLnNo4eioo6Paqg,Eliel Löfgren,1923-10-07,1930-06-07,i-9fghptqkyNzTVdA8knRCGq
,E. A. Nilson,1924-01-10,1925-01-10,i-9fghptqkyNzTVdA8knRCGq
i-JSniSV7GLnNo4eioo6Paqg,Eliel Löfgren,1925-01-10,1934-08-05,i-9fghptqkyNzTVdA8knRCGq
i-4WEXv6PZpB3sB69uG9D7nN,Ernst Lyberg,1930-06-07,1932-06-12,i-9fghptqkyNzTVdA8knRCGq
i-J2XMMheFYn2HnPhL5mPhfx,Karl Andersson,1933-01-24,1934-08-05,i-9fghptqkyNzTVdA8knRCGq
i-QfeDyZ27DQmH17bsjAZDYK,Gustaf Fredrik Östberg,1905,1905,i-9gKkoAVdC2bU1LFrXNHCxd
i-5p2XzfXQYwvKFEXTR5iFUy,Hugo Tamm,1907,1907-10-04,i-9gKkoAVdC2bU1LFrXNHCxd
i-QfeDyZ27DQmH17bsjAZDYK,Gustaf Fredrik Östberg,1908,1912,i-9gKkoAVdC2bU1LFrXNHCxd
i-Fnu186BGHvvTJDuB7t6zMb,Arvid Lindman,1912,1912,i-9gKkoAVdC2bU1LFrXNHCxd
,Birger Ekstedt,1964-04-15,1972-07-05,i-B79rKJX4ZV61ozevGt8JLL
,"Tremannapresidium (Åke Gafvelin, Sven Enlund, Alf Svensson)",1972-07-05,1973-01-20,i-B79rKJX4ZV61ozevGt8JLL
i-WCrN5vpCNm6z9SvfXfby4e,Alf Svensson,1973-01-20,1996-06-28,i-B79rKJX4ZV61ozevGt8JLL
i-WCrN5vpCNm6z9SvfXfby4e,Alf Svensson,1996-06-29,2004-04-03,i-BRRSButj7zSqB1u7zD6hod
i-8BTYtQ95yRpC5syyC4aHoY,Göran Hägglund,2004-04-03,2015-04-25,i-BRRSButj7zSqB1u7zD6hod
i-UgG6CqxVABxx5Hq9mpcZ8M,Ebba Busch,2015-04-25,,i-BRRSButj7zSqB1u7zD6hod
i-5wPAQ1MDLRTsW1XngYcD46,Lars Werner,1990-05-27,1993-01-07,i-CJb7bcc1eZcehvGarg8GpB
