party_id,successor_party_id
i-2SVXJYpXaRHXxbWRcbRd5N,i-CJb7bcc1eZcehvGarg8GpB
i-3A4u29WVtvfu8i1KwuPEeE,i-F6Stwe8wVnSPa3BbgusszQ
i-3kDgsboJBSv4zGqF4zfCsY,i-4nyjRorziqEDtDmp1ZXDoP
i-4nyjRorziqEDtDmp1ZXDoP,i-F6Stwe8wVnSPa3BbgusszQ
i-6DouUrv3WUqNo3ZV44MQo2,i-NhgK2ujGF5t35o2VjT8Q5U
i-9GmMGQzBZZpJhYiBph46no,i-JmAkiEUKt5ZBgaCKGCMNu2
i-9fghptqkyNzTVdA8knRCGq,i-FpGjUCojANuvvwqsNXjcuu
i-9fghptqkyNzTVdA8knRCGq,i-Kpkv9BSujEEJp1S4rDiDt7
i-9gKkoAVdC2bU1LFrXNHCxd,i-3kDgsboJBSv4zGqF4zfCsY
i-AbA39stxKh7LUfFyzHXSSc,i-Wuf6mbSSQz6NKLotsx2aAo
i-B79rKJX4ZV61ozevGt8JLL,i-BRRSButj7zSqB1u7zD6hod
i-Bv4SAmumj6La6PbuS2AYVr,i-MGh3AAF1T7nwuBfDF8EBxL
i-Bv4SAmumj6La6PbuS2AYVr,i-U38vhH3bmRSkDD29zS4VN3
i-C71zJQxceCDJHmQjSb29sP,i-JmAkiEUKt5ZBgaCKGCMNu2
i-CGGLhPcqNAjfLn7JVdrH8y,i-V62L2Jr6S4mFMoW86GFanQ
i-CNbGLyuzdkRJ2sJBBpzJit,i-UiFZiVNo3YgVfyN93Qigiv
i-CwShqiWdwctbU6TPYH5iUZ,i-9gKkoAVdC2bU1LFrXNHCxd
i-EVCNHEkqssUGBqpFtyU8mT,i-Bv4SAmumj6La6PbuS2AYVr
i-FpGjUCojANuvvwqsNXjcuu,i-Hm85EQfFmbYuYFPjpXtuCj
i-GBiUCFdU5Uqau3iaf8ZoZq,i-NhgK2ujGF5t35o2VjT8Q5U
i-GbGubj2AmxfwHBRapTiLhX,i-EVCNHEkqssUGBqpFtyU8mT
i-GhUs4b9mVsgTwzUFZQvgb7,i-KEgnYCc73ZQ58du5cBUznD
i-Hg7NeuZ4rqH2NNJM9r6R7P,i-JmAkiEUKt5ZBgaCKGCMNu2
i-Hm85EQfFmbYuYFPjpXtuCj,i-Kpkv9BSujEEJp1S4rDiDt7
i-JmAkiEUKt5ZBgaCKGCMNu2,i-9fghptqkyNzTVdA8knRCGq
i-JmAkiEUKt5ZBgaCKGCMNu2,i-CNbGLyuzdkRJ2sJBBpzJit
i-JmAkiEUKt5ZBgaCKGCMNu2,i-V7MTfG5XaAmjbSDtLkyyfc
i-JsGzmeZj512cSTetKpxYQF,i-W4wDukSDpMNcSwPExagVMB
i-JyxgnWsKdPSp9CUq7kwP9M,i-JmAkiEUKt5ZBgaCKGCMNu2
i-KEgnYCc73ZQ58du5cBUznD,i-CwShqiWdwctbU6TPYH5iUZ
i-KTFh6jJ82W8M3YskEqK73p,i-EVCNHEkqssUGBqpFtyU8mT
i-KkGtGbS7ogK6aCpAnqXS8f,i-GhUs4b9mVsgTwzUFZQvgb7
i-KkGtGbS7ogK6aCpAnqXS8f,i-SyAxSYehBkTSozNTpRSE1W
i-MGh3AAF1T7nwuBfDF8EBxL,i-CGGLhPcqNAjfLn7JVdrH8y
i-N8ZHM5bKMBzbJXmiiDXiGG,i-CwShqiWdwctbU6TPYH5iUZ
i-N8ZHM5bKMBzbJXmiiDXiGG,i-JsGzmeZj512cSTetKpxYQF
i-NhgK2ujGF5t35o2VjT8Q5U,i-4nyjRorziqEDtDmp1ZXDoP
i-PgZ4noUUgrkZvcF5NuPikj,i-SGnPE3o9jEHg9veQxp4jCS
i-PgZ4noUUgrkZvcF5NuPikj,i-U7KB9Qos7yhdHuWxPyJes6
i-PqJveXCLAJPAGXQVraHAou,i-GhUs4b9mVsgTwzUFZQvgb7
i-PqJveXCLAJPAGXQVraHAou,i-SyAxSYehBkTSozNTpRSE1W
i-PvAXgvY3G8qXv1ZM9xudRA,i-CNbGLyuzdkRJ2sJBBpzJit
i-SGnPE3o9jEHg9veQxp4jCS,i-GBiUCFdU5Uqau3iaf8ZoZq
i-SwzbNNYoyZYULLDiTu2zGP,i-TQCUzfkvYhBFrXeQwXoENH
i-SwzbNNYoyZYULLDiTu2zGP,i-VS8ddgxigwL5TceKtXGApS
i-SyAxSYehBkTSozNTpRSE1W,i-JsGzmeZj512cSTetKpxYQF
i-TQCUzfkvYhBFrXeQwXoENH,i-2SVXJYpXaRHXxbWRcbRd5N
i-U38vhH3bmRSkDD29zS4VN3,i-JyxgnWsKdPSp9CUq7kwP9M
i-U7KB9Qos7yhdHuWxPyJes6,i-GBiUCFdU5Uqau3iaf8ZoZq
i-V62L2Jr6S4mFMoW86GFanQ,i-6DouUrv3WUqNo3ZV44MQo2
i-V7MTfG5XaAmjbSDtLkyyfc,i-Hm85EQfFmbYuYFPjpXtuCj
i-VS8ddgxigwL5TceKtXGApS,i-SwzbNNYoyZYULLDiTu2zGP
i-VzZnBZoi4EChaiCfF6kxbz,i-SeXPXWPfyJxdeuuFtkdhxh
i-W4wDukSDpMNcSwPExagVMB,i-3kDgsboJBSv4zGqF4zfCsY
i-Wuf6mbSSQz6NKLotsx2aAo,i-GbGubj2AmxfwHBRapTiLhX
i-Wuf6mbSSQz6NKLotsx2aAo,i-KTFh6jJ82W8M3YskEqK73p
