person_id,start,end,role
i-QW5W2LNiETVn7C6pxUPTUU,1867,1872,andra kammarens talman
i-2KQokBVhondPT8e9ZQdmem,1867,1872,andra kammarens vice talman
i-NykMZF95yM2zdf9NMBtont,1867,1876,första kammarens talman
i-wVG4QF5ZkrTTo5uHxD7ED,1867-01-18,1868-01-15,första kammarens vice talman
i-9SHnAjHpLBQfhwqrNpggaV,1868-01-16,1872,första kammarens vice talman
i-nScanqUU78nhbW9ef8XLW,1873,1874,andra kammarens vice talman
i-UorJwn2scwABTf47APC1S2,1873,1874,första kammarens vice talman
i-A6HKJELS9dEVb676FNQ5tp,1873,1875,andra kammarens talman
i-Qtn5xiAaEShY2RfbLLuCj8,1875,1880-04-21,andra kammarens vice talman
i-2ehtmACUZPNJMNnS5o3dYB,1875-01-16,1875-05-11,första kammarens vice talman
i-9SHnAjHpLBQfhwqrNpggaV,1875-05-14,1875,första kammarens vice talman
i-8pJuJ7cpFV75dB4vcHCzJA,1876,1877,första kammarens vice talman
i-6ETHRvdQXy7JyB6UH2jtzU,1876,1880-04-19,andra kammarens talman
i-6tymTvb9PiygbXCXFfdMi6,1877,1877,första kammarens talman
i-HWWVGZcUSaZGHGdRYcnTju,1878,1878,första kammarens vice talman
i-QW5W2LNiETVn7C6pxUPTUU,1878,1880,första kammarens talman
i-C2VM46vRGtzGexbCmpfNpg,1879,1891-03-07,första kammarens vice talman
i-TF2nMgsgs9UxhzkCePtBJo,1880-04-21,1884,andra kammarens vice talman
i-Qtn5xiAaEShY2RfbLLuCj8,1880-04-21,1890,andra kammarens talman
i-NykMZF95yM2zdf9NMBtont,1881,1891-03-07,första kammarens talman
i-37qgHWj8Zd858MSWDhN8Zo,1885,1887-05-03,andra kammarens vice talman
i-BqxiGcrvRSyw7vSVD9ghzT,1887-05-04,1888,andra kammarens vice talman
i-37qgHWj8Zd858MSWDhN8Zo,1889,1890,andra kammarens vice talman
i-XEaguj6e5odu6YoYQ7mu5L,1891,1894,andra kammarens vice talman
i-89Xt4xe7kMHGuKUnav6Lzb,1891-01-17,1891,andra kammarens talman
i-C2VM46vRGtzGexbCmpfNpg,1891-03-07,1895,första kammarens talman
i-QzXydyaoPnVMCpzAFujWei,1891-03-07,1895,första kammarens vice talman
i-Vzob1iVwoThSSCEU9iFJLb,1892,1893,andra kammarens talman
i-Ddmtm1uG9esPH37c8XjUXZ,1894,1902,andra kammarens talman
i-QfeDyZ27DQmH17bsjAZDYK,1895,1896,andra kammarens vice talman
i-EFGMikwqApUMCA86eB1wGu,1896,1899-02-01,första kammarens vice talman
i-QzXydyaoPnVMCpzAFujWei,1896,1908,första kammarens talman
i-XEaguj6e5odu6YoYQ7mu5L,1897,1897,andra kammarens vice talman
i-SnW9TwRwSRopKvaUfURXvo,1898,1902,andra kammarens vice talman
i-LkZi3hQne6xsLtDL597mit,1899-02-04,1905,första kammarens vice talman
i-ESAm1DKfv3KraeQ1CSiwmq,1903,1908,andra kammarens vice talman
i-SnW9TwRwSRopKvaUfURXvo,1903,1912,andra kammarens talman
i-UQb1WPSaU3ohorTovz3X3c,1905,,första kammarens vice talman
i-LkZi3hQne6xsLtDL597mit,1906,1908,första kammarens vice talman
i-Hr1HTFqifdBa5H1eAGcaEu,1909,1910,andra kammarens vice talman
i-LkZi3hQne6xsLtDL597mit,1909,1911,första kammarens talman
i-Vz1YonVqFQfxtRvxRGT5sB,1909,1912,första kammarens vice talman
i-7u6TSL3B2X57aHRQYkKAD8,1910,1912,andra kammarens vice talman
i-GogwNnaQ5DTJduArda1vUh,1912,1912,andra kammarens vice talman
i-71XWFF9hWuo3epEz1FeAhT,1912,1915,första kammarens talman
i-PfWLQcWc1zHmdsEJAzj7vd,1913,1915,första kammarens vice talman
i-KLVdWuEH3iyC7Ws5pZeVNK,1913,1917,andra kammarens vice talman
i-GogwNnaQ5DTJduArda1vUh,1913-01-15,1913-11-16,andra kammarens talman
i-DmdTkUnLmmD3GK3nb5iQQU,1914,1917,andra kammarens talman
i-2b1P9oc6jJ6GnNxViy4qgD,1916,1918,första kammarens vice talman
i-DPSKdaCf6QjiTxUvV2sFQN,1916,1928,första kammarens talman
i-G8JbJm9Qan4fa7Ax94MYT3,1918,1918,andra kammarens vice talman
i-KLVdWuEH3iyC7Ws5pZeVNK,1918,1918-03-08,andra kammarens talman
i-G8JbJm9Qan4fa7Ax94MYT3,1918,1921,andra kammarens talman
i-4kz1fC2gQwdiC7G6RzQ2SK,1918,1921,andra kammarens vice talman
i-BedoVVUtGhYy2ZeyUHdGDk,1919,1920,första kammarens vice talman
i-4kz1fC2gQwdiC7G6RzQ2SK,1921,1923,andra kammarens förste vice talman
i-NwhdVgupCWjkZSqQNMjJnp,1921,1928,andre vice talman i första kammaren
i-BedoVVUtGhYy2ZeyUHdGDk,1921,1928,förste vice talman i första kammaren
i-G5pAFA5w4nSfdSXYxcrmWR,1921,1931,andra kammarens andre vice talman
i-UbnnZ7kVjVhJrHrUCyEV9K,1922,1923,andra kammarens talman
i-4KJMAUW9zFRD1g1ShqsMqw,1923,1924,andra kammarens förste vice talman
