parliament_year,chamber,swerik_party_id,calendar_year,nr_seats_snapshot,nr_seats_gold,party,inception,dissolution,missing_party_mapping,diff,abs_diff
1912,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1912,3,0,Utan partibeteckning,1000-01-01,9999-12-31,false,3,3
1912,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,1912,100,102,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-2,2
1912,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1912,63,64,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,-1,1
1912,ak,i-PgZ4noUUgrkZvcF5NuPikj,1912,1,0,Lantmannapartiet,1867-03-10,1912-01-01,false,1,1
1912,ak,i-VS8ddgxigwL5TceKtXGApS,1912,63,64,Socialdemokraterna,1889-01-01,9999-12-31,false,-1,1
1912,fk,i-3kDgsboJBSv4zGqF4zfCsY,1912,83,86,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-3,3
1912,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1912,2,0,Utan partibeteckning,1000-01-01,9999-12-31,false,2,2
1912,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1912,51,52,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-1,1
1912,fk,i-VS8ddgxigwL5TceKtXGApS,1912,12,12,Socialdemokraterna,1889-01-01,9999-12-31,false,0,0
1913,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1913,2,0,Utan partibeteckning,1000-01-01,9999-12-31,false,2,2
1913,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,1913,100,102,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-2,2
1913,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1913,64,64,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,0,0
1913,ak,i-PgZ4noUUgrkZvcF5NuPikj,1913,1,0,Lantmannapartiet,1867-03-10,1912-01-01,false,1,1
1913,ak,i-VS8ddgxigwL5TceKtXGApS,1913,63,64,Socialdemokraterna,1889-01-01,9999-12-31,false,-1,1
1913,fk,i-3kDgsboJBSv4zGqF4zfCsY,1913,87,86,Första kammarens nationella parti,1912-01-01,1935-01-01,false,1,1
1913,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1913,1,0,Utan partibeteckning,1000-01-01,9999-12-31,false,1,1
1913,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1913,49,52,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-3,3
1913,fk,i-VS8ddgxigwL5TceKtXGApS,1913,13,12,Socialdemokraterna,1889-01-01,9999-12-31,false,1,1
1914,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1914,2,0,Utan partibeteckning,1000-01-01,9999-12-31,false,2,2
1914,ak,i-GM695yHGsRXSAorwcFL7x5,1914,4,0,Frisinnade försvarsvänner,1914-01-01,1914-12-31,false,4,4
1914,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,1914,99,70,Liberala samlingspartiet,1900-01-16,1924-01-01,false,29,29
1914,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1914,82,86,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,-4,4
1914,ak,i-PgZ4noUUgrkZvcF5NuPikj,1914,1,0,Lantmannapartiet,1867-03-10,1912-01-01,false,1,1
1914,ak,i-VS8ddgxigwL5TceKtXGApS,1914,73,74,Socialdemokraterna,1889-01-01,9999-12-31,false,-1,1
1914,fk,i-3kDgsboJBSv4zGqF4zfCsY,1914,87,88,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-1,1
1914,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1914,3,0,Utan partibeteckning,1000-01-01,9999-12-31,false,3,3
1914,fk,i-GM695yHGsRXSAorwcFL7x5,1914,1,0,Frisinnade försvarsvänner,1914-01-01,1914-12-31,false,1,1
1914,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1914,49,49,Liberala samlingspartiet,1900-01-16,1924-01-01,false,0,0
1914,fk,i-VS8ddgxigwL5TceKtXGApS,1914,13,13,Socialdemokraterna,1889-01-01,9999-12-31,false,0,0
