riksdagen_year,chamber,l1_distance
1912.0,ak,8
1912.0,fk,6
1913.0,ak,6
1913.0,fk,6
1914.0,ak,43
1914.0,fk,5
1915.0,ak,13
1915.0,fk,4
1916.0,ak,12
1916.0,fk,12
1917.0,ak,45
1917.0,fk,13
1918.0,ak,27
1918.0,fk,7
1919.0,ak,28
1919.0,fk,45
1920.0,ak,27
1920.0,fk,110
1921.0,ak,59
1921.0,fk,31
1922.0,ak,5
1922.0,fk,6
1923.0,ak,3
1923.0,fk,7
1924.0,ak,18
1924.0,fk,13
1925.0,ak,4
1925.0,fk,9
1926.0,ak,4
1926.0,fk,16
1927.0,ak,4
1927.0,fk,15
1928.0,ak,5
1928.0,fk,22
1929.0,ak,7
1929.0,fk,7
1930.0,ak,12
1930.0,fk,9
1931.0,ak,14
1931.0,fk,10
1932.0,ak,15
1932.0,fk,17
1933.0,ak,10
1933.0,fk,11
1934.0,ak,14
1934.0,fk,12
1935.0,ak,22
1935.0,fk,26
1936.0,ak,24
1936.0,fk,42
1937.0,ak,38
1937.0,fk,34
1938.0,ak,43
1938.0,fk,45
1939.0,ak,46
1939.0,fk,54
1940.0,ak,50
1940.0,fk,57
1941.0,ak,49
1941.0,fk,45
1942.0,ak,51
1942.0,fk,48
1943.0,ak,55
1943.0,fk,58
1944.0,ak,60
1944.0,fk,64
1945.0,ak,70
1945.0,fk,50
1946.0,ak,70
1946.0,fk,54
1947.0,ak,69
1947.0,fk,60
1948.0,ak,74
1948.0,fk,60
1949.0,ak,61
1949.0,fk,55
1950.0,ak,62
1950.0,fk,61
1951.0,ak,63
1951.0,fk,57
1952.0,ak,62
1952.0,fk,62
1953.0,ak,83
1953.0,fk,57
1954.0,ak,83
1954.0,fk,62
1955.0,ak,83
1955.0,fk,63
1956.0,ak,83
1956.0,fk,60
1957.0,ak,101
1957.0,fk,51
1958.0,ak,122
1958.0,fk,49
1959.0,ak,106
1959.0,fk,47
1960.0,ak,106
1960.0,fk,46
1961.0,ak,92
1961.0,fk,46
1962.0,ak,92
1962.0,fk,54
1963.0,ak,94
1963.0,fk,58
1964.0,ak,94
1964.0,fk,58
1965.0,ak,81
1965.0,fk,58
1966.0,ak,79
1966.0,fk,61
1967.0,ak,81
1967.0,fk,62
1968.0,ak,81
1968.0,fk,35
1969.0,ak,40
1969.0,fk,40
1970.0,ak,41
1970.0,fk,35
1971.0,ek,10
1972.0,ek,12
1973.0,ek,11
1974.0,ek,11
1975.0,ek,11
197576.0,ek,22
197677.0,ek,10
197778.0,ek,13
197879.0,ek,13
197980.0,ek,13
198081.0,ek,15
198182.0,ek,13
198283.0,ek,11
198384.0,ek,10
198485.0,ek,12
198586.0,ek,13
198687.0,ek,13
198788.0,ek,14
198889.0,ek,11
198990.0,ek,76
199091.0,ek,14
199192.0,ek,13
199293.0,ek,14
199394.0,ek,17
199495.0,ek,12
199596.0,ek,40
199697.0,ek,12
199798.0,ek,12
199899.0,ek,12
199900.0,ek,12
200001.0,ek,12
200102.0,ek,12
200203.0,ek,12
200304.0,ek,14
200405.0,ek,14
200506.0,ek,16
200607.0,ek,12
200708.0,ek,12
200809.0,ek,12
200910.0,ek,12
201011.0,ek,12
201112.0,ek,12
201213.0,ek,12
201314.0,ek,12
201415.0,ek,12
201516.0,ek,30
201617.0,ek,12
201718.0,ek,11
201819.0,ek,12
201920.0,ek,15
202021.0,ek,15
202122.0,ek,13
202223.0,ek,12
