calendar_year,parliament_year,chamber,l1_distance
1912,1912,ak,9
1912,1912,fk,6
1913,1913,ak,7
1913,1913,fk,6
1914,1914,ak,36
1914,1914,fk,4
1915,1915,ak,13
1915,1915,fk,3
1916,1916,ak,11
1916,1916,fk,13
1917,1917,ak,44
1917,1917,fk,13
1918,1918,ak,29
1918,1918,fk,7
1919,1919,ak,30
1919,1919,fk,58
1920,1920,ak,29
1920,1920,fk,110
1921,1921,ak,59
1921,1921,fk,32
1922,1922,ak,7
1922,1922,fk,6
1923,1923,ak,5
1923,1923,fk,7
1924,1924,ak,29
1924,1924,fk,52
1925,1925,ak,2
1925,1925,fk,9
1926,1926,ak,4
1926,1926,fk,16
1927,1927,ak,4
1927,1927,fk,16
1928,1928,ak,4
1928,1928,fk,20
1929,1929,ak,10
1929,1929,fk,7
1930,1930,ak,14
1930,1930,fk,9
1931,1931,ak,15
1931,1931,fk,11
1932,1932,ak,19
1932,1932,fk,17
1933,1933,ak,14
1933,1933,fk,11
1934,1934,ak,15
1934,1934,fk,12
1935,1935,ak,87
1935,1935,fk,14
1936,1936,ak,29
1936,1936,fk,22
1937,1937,ak,51
1937,1937,fk,30
1938,1938,ak,49
1938,1938,fk,39
1939,1939,ak,54
1939,1939,fk,51
1940,1940,ak,56
1940,1940,fk,46
1941,1941,ak,58
1941,1941,fk,45
1942,1942,ak,58
1942,1942,fk,47
1943,1943,ak,59
1943,1943,fk,48
1944,1944,ak,65
1944,1944,fk,49
1945,1945,ak,101
1945,1945,fk,61
1946,1946,ak,102
1946,1946,fk,57
1947,1947,ak,101
1947,1947,fk,57
1948,1948,ak,105
1948,1948,fk,53
1949,1949,ak,82
1949,1949,fk,63
1950,1950,ak,76
1950,1950,fk,57
1951,1951,ak,74
1951,1951,fk,58
1952,1952,ak,74
1952,1952,fk,61
1953,1953,ak,101
1953,1953,fk,57
1954,1954,ak,94
1954,1954,fk,51
1955,1955,ak,93
1955,1955,fk,52
1956,1956,ak,95
1956,1956,fk,55
1957,1957,ak,120
1957,1957,fk,52
1958,1958,ak,134
1958,1958,fk,49
1959,1959,ak,116
1959,1959,fk,46
1960,1960,ak,117
1960,1960,fk,49
1961,1961,ak,107
1961,1961,fk,47
1962,1962,ak,102
1962,1962,fk,58
1963,1963,ak,104
1963,1963,fk,64
1964,1964,ak,100
1964,1964,fk,64
1965,1965,ak,103
1965,1965,fk,67
1966,1966,ak,97
1966,1966,fk,64
1967,1967,ak,104
1967,1967,fk,64
1968,1968,ak,98
1968,1968,fk,66
1969,1969,ak,53
1969,1969,fk,72
1970,1970,ak,50
1970,1970,fk,69
1971,1971,ek,7
1972,1972,ek,7
1973,1973,ek,8
1974,1974,ek,7
1975,1975,ek,7
1976,197576,ek,19
1977,197677,ek,11
1978,197778,ek,10
1979,197980,ek,95
1980,197980,ek,9
1981,198081,ek,11
1982,198182,ek,8
1983,198283,ek,6
1984,198384,ek,5
1985,198586,ek,9
1986,198586,ek,9
1987,198687,ek,9
1988,198788,ek,10
1989,198889,ek,7
1990,198990,ek,72
1991,199192,ek,9
1992,199192,ek,9
1993,199293,ek,9
1994,199394,ek,12
1995,199495,ek,8
1996,199697,ek,21
1997,199798,ek,8
1998,199899,ek,106
1999,19992000,ek,87
2000,200001,ek,8
2001,200102,ek,8
2002,200203,ek,7
2003,200304,ek,9
2004,200405,ek,9
2005,200506,ek,13
2006,200506,ek,13
2007,200708,ek,8
2008,200809,ek,8
2009,200910,ek,8
2010,200910,ek,7
2011,201112,ek,8
2012,201213,ek,8
2013,201314,ek,8
2014,201415,ek,11
2015,201516,ek,8
2016,201617,ek,7
2017,201718,ek,6
2018,201819,ek,8
2019,201920,ek,11
2020,202021,ek,11
2021,202122,ek,9
2022,202223,ek,9
2023,202324,ek,6
2024,202324,ek,9
2025,202324,ek,9
