calendar_year,parliament_year,chamber,swerik_party_id,nr_seats
1912,1912,ak,i-NhgK2ujGF5t35o2VjT8Q5U,63
1912,1912,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,3
1912,1912,ak,i-VS8ddgxigwL5TceKtXGApS,63
1912,1912,ak,i-PgZ4noUUgrkZvcF5NuPikj,1
1912,1912,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,100
1912,1912,fk,i-VS8ddgxigwL5TceKtXGApS,12
1912,1912,fk,i-3kDgsboJBSv4zGqF4zfCsY,83
1912,1912,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,51
1912,1912,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1913,1913,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,100
1913,1913,ak,i-VS8ddgxigwL5TceKtXGApS,63
1913,1913,ak,i-PgZ4noUUgrkZvcF5NuPikj,1
1913,1913,ak,i-NhgK2ujGF5t35o2VjT8Q5U,64
1913,1913,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1913,1913,fk,i-3kDgsboJBSv4zGqF4zfCsY,87
1913,1913,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,49
1913,1913,fk,i-VS8ddgxigwL5TceKtXGApS,13
1913,1913,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1914,1914,ak,i-NhgK2ujGF5t35o2VjT8Q5U,82
1914,1914,ak,i-VS8ddgxigwL5TceKtXGApS,73
1914,1914,ak,i-PgZ4noUUgrkZvcF5NuPikj,1
1914,1914,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,99
1914,1914,ak,i-GM695yHGsRXSAorwcFL7x5,4
1914,1914,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1914,1914,fk,i-VS8ddgxigwL5TceKtXGApS,13
1914,1914,fk,i-GM695yHGsRXSAorwcFL7x5,1
1914,1914,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,3
1914,1914,fk,i-3kDgsboJBSv4zGqF4zfCsY,87
1914,1914,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,49
1915,1915,ak,i-NhgK2ujGF5t35o2VjT8Q5U,82
1915,1915,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,55
1915,1915,ak,i-PgZ4noUUgrkZvcF5NuPikj,1
1915,1915,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,6
1915,1915,ak,i-VS8ddgxigwL5TceKtXGApS,87
1915,1915,fk,i-VS8ddgxigwL5TceKtXGApS,14
1915,1915,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,46
1915,1915,fk,i-3kDgsboJBSv4zGqF4zfCsY,87
1915,1915,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1916,1916,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,55
1916,1916,ak,i-PgZ4noUUgrkZvcF5NuPikj,1
1916,1916,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,5
1916,1916,ak,i-NhgK2ujGF5t35o2VjT8Q5U,82
1916,1916,ak,i-VS8ddgxigwL5TceKtXGApS,87
1916,1916,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,45
1916,1916,fk,i-3kDgsboJBSv4zGqF4zfCsY,85
1916,1916,fk,i-VS8ddgxigwL5TceKtXGApS,13
1916,1916,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,5
1917,1917,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,54
1917,1917,ak,i-PgZ4noUUgrkZvcF5NuPikj,1
1917,1917,ak,i-SwzbNNYoyZYULLDiTu2zGP,14
1917,1917,ak,i-NhgK2ujGF5t35o2VjT8Q5U,82
1917,1917,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,6
1917,1917,ak,i-VS8ddgxigwL5TceKtXGApS,70
1917,1917,fk,i-VS8ddgxigwL5TceKtXGApS,15
1917,1917,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,3
1917,1917,fk,i-SwzbNNYoyZYULLDiTu2zGP,1
1917,1917,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,43
1917,1917,fk,i-3kDgsboJBSv4zGqF4zfCsY,85
1918,1918,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1918,1918,ak,i-NhgK2ujGF5t35o2VjT8Q5U,55
1918,1918,ak,i-PgZ4noUUgrkZvcF5NuPikj,2
1918,1918,ak,i-CJb7bcc1eZcehvGarg8GpB,1
1918,1918,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,61
1918,1918,ak,i-CNbGLyuzdkRJ2sJBBpzJit,9
1918,1918,ak,i-PvAXgvY3G8qXv1ZM9xudRA,5
1918,1918,ak,i-VS8ddgxigwL5TceKtXGApS,85
1918,1918,ak,i-SwzbNNYoyZYULLDiTu2zGP,10
1918,1918,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1918,1918,fk,i-VS8ddgxigwL5TceKtXGApS,15
1918,1918,fk,i-3kDgsboJBSv4zGqF4zfCsY,85
1918,1918,fk,i-SwzbNNYoyZYULLDiTu2zGP,1
1918,1918,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,44
1919,1919,ak,i-PgZ4noUUgrkZvcF5NuPikj,2
1919,1919,ak,i-NhgK2ujGF5t35o2VjT8Q5U,54
1919,1919,ak,i-CNbGLyuzdkRJ2sJBBpzJit,9
1919,1919,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1919,1919,ak,i-PvAXgvY3G8qXv1ZM9xudRA,6
1919,1919,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,60
1919,1919,ak,i-VS8ddgxigwL5TceKtXGApS,87
1919,1919,ak,i-SwzbNNYoyZYULLDiTu2zGP,10
1919,1919,ak,i-CJb7bcc1eZcehvGarg8GpB,1
1919,1919,fk,i-CNbGLyuzdkRJ2sJBBpzJit,7
1919,1919,fk,i-PvAXgvY3G8qXv1ZM9xudRA,7
1919,1919,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,47
1919,1919,fk,i-VS8ddgxigwL5TceKtXGApS,42
1919,1919,fk,i-3kDgsboJBSv4zGqF4zfCsY,87
1919,1919,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,4
1919,1919,fk,i-SwzbNNYoyZYULLDiTu2zGP,2
1920,1920,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1920,1920,ak,i-VS8ddgxigwL5TceKtXGApS,85
1920,1920,ak,i-PvAXgvY3G8qXv1ZM9xudRA,6
1920,1920,ak,i-PgZ4noUUgrkZvcF5NuPikj,2
1920,1920,ak,i-NhgK2ujGF5t35o2VjT8Q5U,54
1920,1920,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,61
1920,1920,ak,i-CJb7bcc1eZcehvGarg8GpB,1
1920,1920,ak,i-CNbGLyuzdkRJ2sJBBpzJit,9
1920,1920,ak,i-SwzbNNYoyZYULLDiTu2zGP,10
1920,1920,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,4
1920,1920,fk,i-PvAXgvY3G8qXv1ZM9xudRA,7
1920,1920,fk,i-3kDgsboJBSv4zGqF4zfCsY,36
1920,1920,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,39
1920,1920,fk,i-SwzbNNYoyZYULLDiTu2zGP,3
1920,1920,fk,i-VS8ddgxigwL5TceKtXGApS,46
1920,1920,fk,i-CNbGLyuzdkRJ2sJBBpzJit,9
1921,1921,ak,i-TQCUzfkvYhBFrXeQwXoENH,2
1921,1921,ak,i-CNbGLyuzdkRJ2sJBBpzJit,18
1921,1921,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,44
1921,1921,ak,i-NhgK2ujGF5t35o2VjT8Q5U,65
1921,1921,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1921,1921,ak,i-PvAXgvY3G8qXv1ZM9xudRA,9
1921,1921,ak,i-UiFZiVNo3YgVfyN93Qigiv,1
1921,1921,ak,i-VS8ddgxigwL5TceKtXGApS,67
1921,1921,ak,i-SwzbNNYoyZYULLDiTu2zGP,5
1921,1921,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
1921,1921,fk,i-CNbGLyuzdkRJ2sJBBpzJit,9
1921,1921,fk,i-VS8ddgxigwL5TceKtXGApS,48
1921,1921,fk,i-PvAXgvY3G8qXv1ZM9xudRA,8
1921,1921,fk,i-3kDgsboJBSv4zGqF4zfCsY,35
1921,1921,fk,i-SwzbNNYoyZYULLDiTu2zGP,2
1921,1921,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,40
1921,1921,fk,i-TQCUzfkvYhBFrXeQwXoENH,1
1921,1921,fk,No SWERIK-id found,1
1922,1922,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1922,1922,ak,i-CNbGLyuzdkRJ2sJBBpzJit,21
1922,1922,ak,i-TQCUzfkvYhBFrXeQwXoENH,5
1922,1922,ak,i-VS8ddgxigwL5TceKtXGApS,93
1922,1922,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,41
1922,1922,ak,No SWERIK-id found,2
1922,1922,ak,i-SwzbNNYoyZYULLDiTu2zGP,6
1922,1922,ak,i-NhgK2ujGF5t35o2VjT8Q5U,60
